,tokenized_text,label,split
0,"[101, 2074, 3038, 1012, 1012, 1012, 1012, 2017, 4558, 12170, 4017, 8376, 102]",5,pseudo
1,"[101, 2129, 2052, 1045, 6235, 8256, 12925, 11951, 1012, 3065, 1996, 2613, 2187, 1012, 3221, 5730, 2098, 2834, 12956, 1005, 1055, 27853, 1996, 2573, 15327, 2015, 1997, 2111, 2008, 2444, 3477, 5403, 3600, 2000, 3477, 5403, 3600, 1012, 102]",5,pseudo
2,"[101, 2030, 2672, 1037, 2210, 2148, 1997, 22103, 2448, 1012, 2062, 2066, 16271, 2380, 1998, 2697, 10125, 17327, 2080, 1012, 2008, 2878, 5101, 20252, 4313, 1011, 17046, 2001, 1037, 2317, 2690, 1011, 2465, 5318, 5216, 4580, 2181, 1999, 1996, 1055, 1998, 2085, 2009, 1005, 1055, 1037, 4319, 1011, 1999, 14081, 2098, 4485, 11484, 1012, 102]",3,pseudo
3,"[101, 2008, 1005, 1055, 6057, 1012, 1012, 1012, 2021, 102]",5,pseudo
4,"[101, 23653, 2009, 2001, 21701, 8602, 2040, 11041, 1996, 2644, 8398, 6981, 1005, 16360, 1012, 5207, 2056, 2023, 3475, 1056, 1996, 2034, 2051, 21701, 8602, 2038, 2921, 2592, 2013, 3519, 1012, 2009, 1055, 2010, 5418, 1012, 1005, 102]",5,pseudo
5,"[101, 1054, 1041, 1056, 1037, 1054, 1040, 1055, 102]",5,pseudo
6,"[101, 2009, 3084, 6082, 2005, 2502, 2567, 2000, 3422, 1998, 1996, 10558, 2000, 4133, 2105, 2725, 2498, 1012, 102]",2,pseudo
7,"[101, 1998, 4487, 9284, 2000, 2308, 1011, 2057, 2035, 2031, 1037, 2627, 1012, 2057, 2035, 2031, 20220, 1012, 2004, 1045, 2360, 1011, 2064, 1996, 20220, 2022, 1037, 9844, 2275, 1998, 4906, 1999, 1996, 7163, 6212, 102]",2,pseudo
8,"[101, 1045, 1005, 1040, 6135, 8568, 2008, 1998, 2202, 2009, 4312, 1012, 4277, 2008, 2404, 2308, 2012, 3891, 4995, 1005, 1056, 4276, 4748, 22658, 2000, 1012, 1045, 2165, 1037, 11224, 23663, 2099, 2000, 1037, 2446, 5404, 2782, 2023, 2095, 1012, 3407, 2000, 2393, 2017, 3477, 2151, 21892, 2445, 102]",2,pseudo
9,"[101, 6655, 2027, 2069, 2131, 2185, 2007, 2009, 1999, 5622, 2497, 15975, 2015, 1012, 9152, 13327, 2015, 2105, 2182, 2024, 4251, 1012, 102]",5,pseudo
10,"[101, 2057, 2035, 2079, 1012, 1045, 2228, 2009, 1055, 2074, 19158, 2000, 2047, 4132, 1012, 3659, 1996, 2773, 10555, 1012, 2017, 2031, 1037, 4121, 2206, 2000, 4254, 1012, 2087, 2123, 1056, 5382, 1996, 3524, 6608, 2039, 1012, 4067, 2017, 2005, 2035, 2017, 2079, 1012, 102]",5,pseudo
11,"[101, 2115, 3371, 5009, 2000, 2035, 2780, 1999, 1996, 2088, 2452, 102]",5,pseudo
12,"[101, 21379, 2491, 1996, 8484, 2769, 4425, 22064, 2080, 8021, 2769, 2005, 5618, 3342, 8169, 25332, 102]",5,pseudo
13,"[101, 2027, 2097, 2022, 8292, 29577, 2098, 1998, 4727, 1012, 2205, 2397, 2005, 2885, 102]",2,pseudo
14,"[101, 10166, 1012, 26671, 10733, 2089, 2031, 2042, 6886, 2009, 1999, 2256, 5344, 1996, 2972, 2051, 2054, 2079, 2017, 2228, 102]",3,pseudo
15,"[101, 2057, 1005, 2222, 2196, 2113, 1012, 1998, 2065, 2057, 2106, 2057, 2876, 1005, 1056, 2224, 2216, 8866, 2000, 2433, 10740, 2006, 10556, 27313, 8953, 1012, 2023, 2028, 2003, 2055, 3045, 2025, 2566, 6342, 23782, 1012, 102]",5,pseudo
16,"[101, 2288, 2009, 1011, 4283, 1045, 6618, 2009, 2001, 1005, 2565, 1005, 2021, 2007, 2242, 2842, 2794, 102]",5,pseudo
17,"[101, 10047, 2063, 1037, 2995, 2630, 2365, 1997, 3725, 6616, 2125, 2067, 2000, 2115, 4485, 4920, 3842, 102]",5,pseudo
18,"[101, 14380, 9648, 3036, 1012, 2988, 2000, 2022, 6020, 2000, 1041, 15549, 7011, 2595, 1998, 2166, 7878, 4117, 2012, 1037, 12884, 1997, 1996, 3976, 1012, 102]",5,pseudo
19,"[101, 2064, 1005, 1056, 7475, 2007, 8866, 102]",5,pseudo
20,"[101, 9733, 14939, 10328, 2578, 1012, 102]",5,pseudo
21,"[101, 9152, 13327, 2015, 8038, 2113, 102]",5,pseudo
22,"[101, 4438, 4012, 9856, 16522, 19717, 4366, 2216, 2008, 21090, 2007, 1996, 2291, 2024, 10597, 5665, 2059, 10436, 2068, 2046, 4896, 13125, 7129, 8817, 2011, 2023, 4118, 102]",5,pseudo
23,"[101, 1037, 2767, 1997, 3067, 2354, 2129, 2000, 5959, 2370, 2205, 1011, 2002, 8271, 2039, 1999, 1996, 5581, 2843, 1997, 1996, 3347, 2227, 2091, 2006, 1996, 7415, 1997, 2010, 2482, 6471, 2091, 2105, 2010, 15392, 1998, 1037, 2200, 14699, 4632, 4920, 1012, 1012, 1012, 2995, 2466, 1012, 102]",5,pseudo
24,"[101, 1996, 2142, 2163, 1997, 2637, 2024, 2067, 2000, 2067, 2088, 2162, 3966, 1998, 2065, 1059, 2860, 2001, 2000, 3338, 2041, 2017, 2064, 11302, 2057, 2097, 2022, 1037, 2093, 23366, 3410, 2388, 11263, 9102, 2015, 1998, 2008, 1005, 1055, 1996, 2878, 4365, 3953, 2240, 2055, 2008, 102]",3,pseudo
25,"[101, 28774, 2050, 1005, 1055, 2028, 1997, 2122, 17522, 15069, 2015, 2008, 1045, 2001, 7727, 2000, 1012, 102]",5,pseudo
26,"[101, 2092, 2057, 2097, 2562, 1996, 6530, 18294, 9152, 13327, 2015, 2013, 3088, 1998, 1996, 7486, 2041, 2005, 2469, 1012, 2057, 2097, 2025, 2507, 2039, 2256, 4409, 1012, 102]",3,pseudo
27,"[101, 2115, 16939, 2015, 5923, 1998, 7412, 3252, 8106, 2145, 2031, 2498, 2000, 2079, 2007, 1996, 2317, 2791, 1012, 2079, 2035, 16939, 9253, 13157, 24680, 2552, 2023, 5236, 102]",5,pseudo
28,"[101, 2008, 2003, 1996, 2227, 1997, 2619, 2040, 2038, 2000, 27545, 2125, 2010, 5027, 5192, 1012, 102]",5,pseudo
29,"[101, 2052, 2074, 2066, 2000, 2695, 2008, 1045, 2031, 2018, 1037, 2261, 10287, 2182, 3892, 1012, 1996, 7832, 2904, 2004, 2411, 2004, 1996, 14921, 1012, 3531, 2191, 1997, 2008, 2054, 2017, 2097, 1012, 102]",5,pseudo
30,"[101, 1045, 2145, 2031, 3067, 2008, 1045, 4156, 4435, 2047, 1012, 2012, 2070, 2391, 1999, 1996, 2925, 2122, 2097, 2175, 2039, 1999, 3643, 2074, 2066, 1996, 2428, 2214, 22659, 1012, 102]",5,pseudo
31,"[101, 3163, 2003, 2108, 25537, 2011, 3742, 7521, 102]",5,pseudo
32,"[101, 3644, 4411, 1997, 2035, 13560, 2920, 1012, 1012, 1012, 1012, 7632, 3022, 7521, 2849, 1997, 3644, 22006, 2573, 2007, 7486, 1012, 1012, 1012, 102]",5,pseudo
33,"[101, 1996, 4812, 2003, 3143, 2077, 1996, 8769, 2024, 2041, 1012, 2027, 2442, 2022, 16657, 2058, 2045, 1012, 102]",2,pseudo
34,"[101, 3789, 1997, 2512, 7023, 4541, 2011, 2019, 1998, 2054, 2057, 2064, 2079, 2000, 3466, 2689, 1012, 2017, 2145, 2342, 2000, 3696, 2008, 9964, 1045, 5799, 2000, 1999, 2060, 2695, 2295, 1012, 102]",5,pseudo
35,"[101, 2023, 2003, 2146, 2205, 2021, 2009, 2003, 1996, 2028, 1045, 3214, 2000, 4604, 1012, 3374, 1012, 102]",5,pseudo
36,"[101, 2002, 1005, 1055, 6069, 2232, 16215, 5657, 2017, 102]",5,pseudo
